"[run number]","template","pherosim-amount","pherotimer","density","rock-stigmergy","pheromone-stigmergy","pheromone-sim-stigmergy","number","template-radius","template-width","pheromone-following","pheromone-drop-concentration","ant-stigmergy","[step]","entrance / amount-of-flood-fills"
"6","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.9785932721712538"
"2","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.9938837920489296"
"5","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.9429153924566769"
"7","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.9296636085626911"
"11","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.873598369011213"
"4","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.8888888888888888"
"10","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.7828746177370031"
"12","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.8419979612640163"
"8","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.7828746177370031"
"9","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.7512742099898063"
"3","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.8827726809378186"
"1","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.7288481141692151"
"14","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.9551478083588175"
"15","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.9520897043832823"
"17","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.9357798165137615"
"13","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.8960244648318043"
"16","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.9062181447502549"
"19","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.9204892966360856"
"18","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.8124362895005097"
"21","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.8083588175331294"
"20","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.6248725790010193"
"22","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.6340468909276249"
"23","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.9143730886850153"
