"BehaviorSpace results (NetLogo 6.2.0)"
"Ants_WallBuild.nlogo"
"het-grote-experiment"
"06/18/2021 12:33:42:905 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","template","pherosim-amount","pherotimer","density","rock-stigmergy","pheromone-stigmergy","pheromone-sim-stigmergy","number","template-radius","template-width","pheromone-following","pheromone-drop-concentration","ant-stigmergy","[step]","entrance / amount-of-flood-fills"
"9","true","261","1","10","true","false","false","100","15","5","false","20","true","100000","0.9806320081549439"
"8","true","261","1","10","true","false","false","50","15","5","false","20","false","100000","0.7838939857288482"
"2","true","261","1","10","true","true","false","50","15","5","false","20","false","100000","0.9367991845056065"
"3","true","261","1","10","true","true","false","100","15","5","false","20","true","100000","1"
"4","true","261","1","10","true","true","false","100","15","5","false","20","false","100000","0.9806320081549439"
"10","true","261","1","10","true","false","false","100","15","5","false","20","false","100000","0.9663608562691132"
"7","true","261","1","10","true","false","false","50","15","5","false","20","true","100000","0.42507645259938837"
"12","true","261","1","10","true","false","false","200","15","5","false","20","false","100000","1"
"11","true","261","1","10","true","false","false","200","15","5","false","20","true","100000","1"
"5","true","261","1","10","true","true","false","200","15","5","false","20","true","100000","1"
"1","true","261","1","10","true","true","false","50","15","5","false","20","true","100000","0.9857288481141692"
"6","true","261","1","10","true","true","false","200","15","5","false","20","false","100000","1"
"13","true","261","1","12","true","true","false","50","15","5","false","20","true","100000","0.5983690112130479"
"14","true","261","1","12","true","true","false","50","15","5","false","20","false","100000","0.6411824668705403"
"16","true","261","1","12","true","true","false","100","15","5","false","20","false","100000","0.8073394495412844"
"15","true","261","1","12","true","true","false","100","15","5","false","20","true","100000","1"
"19","true","261","1","12","true","false","false","50","15","5","false","20","true","100000","0.3659531090723751"
"17","true","261","1","12","true","true","false","200","15","5","false","20","true","100000","1"
"18","true","261","1","12","true","true","false","200","15","5","false","20","false","100000","1"
"21","true","261","1","12","true","false","false","100","15","5","false","20","true","100000","0.7308868501529052"
"20","true","261","1","12","true","false","false","50","15","5","false","20","false","100000","0.08970438328236494"
"22","true","261","1","12","true","false","false","100","15","5","false","20","false","100000","0.3312945973496432"
"24","true","261","1","12","true","false","false","200","15","5","false","20","false","100000","1"
"23","true","261","1","12","true","false","false","200","15","5","false","20","true","100000","0.9245667686034659"
"25","true","261","1","15","true","true","false","50","15","5","false","20","true","100000","0.24260958205912334"
"26","true","261","1","15","true","true","false","50","15","5","false","20","false","100000","0.24770642201834864"
"27","true","261","1","15","true","true","false","100","15","5","false","20","true","100000","0.5331294597349643"
"29","true","261","1","15","true","true","false","200","15","5","false","20","true","100000","0.9153924566768603"
"31","true","261","1","15","true","false","false","50","15","5","false","20","true","100000","0.060142711518858305"
"32","true","261","1","15","true","false","false","50","15","5","false","20","false","100000","0.1111111111111111"
"28","true","261","1","15","true","true","false","100","15","5","false","20","false","100000","0.03567787971457696"
"30","true","261","1","15","true","true","false","200","15","5","false","20","false","100000","0.6880733944954128"
"34","true","261","1","15","true","false","false","100","15","5","false","20","false","100000","0.10499490316004077"
"33","true","261","1","15","true","false","false","100","15","5","false","20","true","100000","0.0764525993883792"
"35","true","261","1","15","true","false","false","200","15","5","false","20","true","100000","0.46381243628950053"
"36","true","261","1","15","true","false","false","200","15","5","false","20","false","100000","0.5514780835881753"
