"BehaviorSpace results (NetLogo 6.2.0)"
"Ants_WallBuild.nlogo"
"het-grote-experiment"
"06/18/2021 12:46:23:468 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
"template","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"pherosim-amount","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261","261"
"pherotimer","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"density","10","10","10","10","10","10","10","10","10","10","10","10","12","12","12","12","12","12","12","12","12","12","12","12","15","15","15","15","15","15","15","15","15","15","15","15"
"rock-stigmergy","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"pheromone-stigmergy","true","true","true","true","true","true","false","false","false","false","false","false","true","true","true","true","true","true","false","false","false","false","false","false","true","true","true","true","true","true","false","false","false","false","false","false"
"pheromone-sim-stigmergy","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"number","50","50","100","100","200","200","50","50","100","100","200","200","50","50","100","100","200","200","50","50","100","100","200","200","50","50","100","100","200","200","50","50","100","100","200","200"
"template-radius","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"template-width","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"pheromone-following","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"pheromone-drop-concentration","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"ant-stigmergy","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false"
"[steps]","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000","100000"

"[initial & final values]","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills","entrance / amount-of-flood-fills"
,"0.9857288481141692","0.9367991845056065","1","0.9806320081549439","1","1","0.42507645259938837","0.7838939857288482","0.9806320081549439","0.9663608562691132","1","1","0.5983690112130479","0.6411824668705403","1","0.8073394495412844","1","1","0.3659531090723751","0.08970438328236494","0.7308868501529052","0.3312945973496432","0.9245667686034659","1","0.24260958205912334","0.24770642201834864","0.5331294597349643","0.03567787971457696","0.9153924566768603","0.6880733944954128","0.060142711518858305","0.1111111111111111","0.0764525993883792","0.10499490316004077","0.46381243628950053","0.5514780835881753"
